trial,eps,delta,N,U,workload,alpha,use_cu,w,d,updates_per_sec,qps,med_min,iqr_min,p95_min,med_mean,iqr_mean,p95_mean,med_cmm,iqr_cmm,p95_cmm
0,0.0005,0.001,200000,100000,uniform,1.0,1,5437,7,147254.7263444712,60562.19705260953,10.0,3.0,13.0,11.714285714285714,1.8571428571428577,13.571428571428571,2.0,2.0,5.0
1,0.0005,0.001,200000,100000,uniform,1.0,1,5437,7,144904.5928986737,57650.509386532365,10.0,2.0,13.0,11.714285714285714,1.8571428571428577,13.571428571428571,2.0,2.0,4.780905077262693
2,0.0005,0.001,200000,100000,uniform,1.0,1,5437,7,151397.88685625658,63814.37465843718,11.0,3.0,13.0,11.857142857142858,1.8571428571428559,13.43571428571428,2.0,2.0,4.798565121412803
0,0.001,0.001,200000,100000,uniform,1.0,1,2719,7,163356.06528493328,70501.47451862373,24.0,2.0,26.0,24.857142857142858,2.0,26.714285714285715,2.0,2.0,5.0
1,0.001,0.001,200000,100000,uniform,1.0,1,2719,7,163969.82744916258,68046.18738217284,24.0,2.0,26.0,24.857142857142858,2.0,26.857142857142858,2.0,2.0,5.0
2,0.001,0.001,200000,100000,uniform,1.0,1,2719,7,159806.71046134928,64704.81453682012,24.0,2.0,26.0,25.0,1.8571428571428577,26.857142857142858,2.0,2.0,5.0
0,0.002,0.001,200000,100000,uniform,1.0,1,1360,7,163984.91194265045,67814.76843063219,51.0,2.0,53.0,52.142857142857146,2.0,54.142857142857146,2.0,2.0,5.0
1,0.002,0.001,200000,100000,uniform,1.0,1,1360,7,162095.45318313283,64627.24413383936,51.0,2.0,53.0,52.0,2.0,54.0,2.0,2.0,5.0
2,0.002,0.001,200000,100000,uniform,1.0,1,1360,7,168542.14735813002,62376.998422103716,51.0,2.0,53.0,52.285714285714285,2.0,54.142857142857146,2.0,2.0,5.0
0,0.0005,0.001,200000,100000,uniform,1.0,0,5437,7,197742.4337589115,65576.56344369036,22.0,10.0,33.0,38.714285714285715,7.4285714285714235,48.142857142857146,2.0,2.0,5.0
1,0.0005,0.001,200000,100000,uniform,1.0,0,5437,7,195028.22332095672,55696.34198655665,21.0,9.0,32.0,38.714285714285715,6.857142857142854,47.57142857142857,2.0,2.0,5.0
2,0.0005,0.001,200000,100000,uniform,1.0,0,5437,7,198527.73795398927,66289.91679100587,21.0,9.0,33.0,38.57142857142857,7.142857142857146,47.714285714285715,2.0,2.0,5.0
0,0.001,0.001,200000,100000,uniform,1.0,0,2719,7,197976.8153348242,66750.10212443922,51.0,14.0,68.0,75.42857142857143,10.714285714285722,88.42857142857143,2.0,2.0,5.0
1,0.001,0.001,200000,100000,uniform,1.0,0,2719,7,202152.35637040847,66393.56557135875,51.0,13.0,67.0,75.28571428571429,10.32142857142857,88.0,2.0,2.0,5.0
2,0.001,0.001,200000,100000,uniform,1.0,0,2719,7,203231.2961115013,64936.32781347657,51.0,14.0,67.0,75.28571428571429,10.0,87.71428571428571,2.0,2.0,5.0
0,0.002,0.001,200000,100000,uniform,1.0,0,1360,7,200913.37208227944,68167.94987045281,113.0,20.0,138.0,148.71428571428572,13.857142857142861,166.14285714285714,2.0,2.0,5.0
1,0.002,0.001,200000,100000,uniform,1.0,0,1360,7,200372.35174198213,65402.8631839127,114.0,18.0,138.0,149.14285714285714,14.285714285714278,167.42857142857142,2.0,2.0,5.0
2,0.002,0.001,200000,100000,uniform,1.0,0,1360,7,202101.65491150614,65334.49415305083,114.0,20.0,137.0,149.0,12.857142857142861,166.72142857142856,2.0,2.0,5.0
0,0.0005,0.001,200000,100000,zipf,1.0,1,5437,7,126325.5098099289,67881.97805558106,3.0,2.0,6.0,10.142857142857142,12.464285714285714,82.04999999999995,1.0,2.0,6.0
1,0.0005,0.001,200000,100000,zipf,1.0,1,5437,7,129264.75941712155,59344.890013073426,3.0,2.0,6.0,10.142857142857142,12.428571428571429,72.76428571428566,1.0,2.0,6.0
2,0.0005,0.001,200000,100000,zipf,1.0,1,5437,7,125690.82813464502,66182.64866674921,3.0,2.0,7.0499999999999545,10.285714285714286,13.571428571428571,76.73571428571427,1.0,2.0,6.0
0,0.001,0.001,200000,100000,zipf,1.0,1,2719,7,131888.59045532029,61289.154251777254,7.0,2.0,10.0,21.142857142857142,25.892857142857146,157.43571428571425,1.0,2.0,6.03874172185427
1,0.001,0.001,200000,100000,zipf,1.0,1,2719,7,132431.31705819158,65961.31811320562,8.0,3.0,10.0,21.142857142857142,23.857142857142854,142.75714285714284,1.0,2.0,6.0
2,0.001,0.001,200000,100000,zipf,1.0,1,2719,7,126398.95192085626,57644.029178998324,8.0,3.0,10.0,21.142857142857142,23.178571428571427,163.0142857142857,1.0,2.0,7.0
0,0.002,0.001,200000,100000,zipf,1.0,1,1360,7,134392.25461324299,66245.7829287145,20.0,3.0,22.0,44.714285714285715,50.17857142857143,283.61428571428564,1.0,2.0,6.0499999999999545
1,0.002,0.001,200000,100000,zipf,1.0,1,1360,7,135033.20322145443,66864.58362307517,20.0,3.0,22.0,44.35714285714286,47.82142857142857,329.1285714285713,1.0,2.0,6.0
2,0.002,0.001,200000,100000,zipf,1.0,1,1360,7,133084.94350485198,67505.76106598687,20.0,3.0,22.0,43.285714285714285,43.74999999999999,272.5785714285714,1.0,2.0,7.0
